ts,symbol,tf,open,high,low,close,volume,oi
1700000000000,BTCUSDT,15m,42000,42100,41950,42080,1200,
1700000900000,BTCUSDT,15m,42080,42150,42070,42120,1100,
1700001800000,BTCUSDT,15m,42120,42200,42100,42180,1150,
1700002700000,BTCUSDT,15m,42180,42250,42160,42220,1180,
1700003600000,BTCUSDT,15m,42220,42300,42200,42280,1220,
1700004500000,BTCUSDT,15m,42280,42350,42260,42320,1190,
1700005400000,BTCUSDT,15m,42320,42400,42300,42380,1210,
1700006300000,BTCUSDT,15m,42380,42450,42360,42420,1170,
1700007200000,BTCUSDT,15m,42420,42500,42400,42480,1200,
1700008100000,BTCUSDT,15m,42480,42550,42460,42520,1180,
1700009000000,BTCUSDT,15m,42520,42600,42500,42580,1190,
1700009900000,BTCUSDT,15m,42580,42650,42560,42620,1210,
1700010800000,BTCUSDT,15m,42620,42700,42600,42680,1200,
1700011700000,BTCUSDT,15m,42680,42750,42660,42720,1180,
1700012600000,BTCUSDT,15m,42720,42800,42700,42780,1220,
1700013500000,BTCUSDT,15m,42780,42850,42760,42820,1190,
1700014400000,BTCUSDT,15m,42820,42900,42800,42880,1210,
1700015300000,BTCUSDT,15m,42880,42950,42860,42920,1170,
1700016200000,BTCUSDT,15m,42920,43000,42900,42980,1200,
1700017100000,BTCUSDT,15m,42980,43050,42960,43020,1180,
1700018000000,BTCUSDT,15m,43020,43100,43000,43080,5000,
1700018900000,BTCUSDT,15m,43080,43120,43070,43100,900,
1700019800000,BTCUSDT,15m,43100,43200,43090,43180,1300,
1700020700000,BTCUSDT,15m,43180,43250,43160,43220,1250,
1700021600000,BTCUSDT,15m,43220,43300,43200,43280,1280,
